f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,grid_failure_flag
0.6235,1.35724,-1.09314,-0.664547,-0.490946,1.64332,0.931086,0.212911,-0.835026,-0.602086,-1.7356,-1.39616,1.41175,-0.000786814,-0.744503,-0.843221,0.222564,0.0523827,1.14857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.712589,1.37007,0.994771,-1.46083,-0.594823,0.00981785,-0.767133,-0.843644,-1.67343,0.0320785,-0.00183575,0.114562,-0.00169614,-0.000786814,1.54235,-0.0713205,1.36035,0.0151014,-0.664732,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-0.35647,0.627875,0.274844,-1.15179,-0.527774,-0.426714,-1.03328,-1.12733,-1.23231,-1.27468,1.15401,0.751249,1.41175,1.3368,1.32332,-0.311161,1.18464,0.100905,-0.493674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.445559,-0.699209,1.14436,-0.525543,1.43398,1.43761,-0.644339,-1.25596,0.280045,-1.21703,-0.00183575,1.72593,-0.708422,0.445075,-0.490176,0.219284,-0.253189,1.12197,-0.156349,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-1.51462,-1.03497,1.31295,-0.602013,-0.36246,1.13326,-1.04995,0.491036,-0.58693,-0.659737,-1.15768,-0.16042,-0.00169614,0.890936,1.39624,-0.6475,-1.4657,-0.987631,-1.54894,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1.51438,-0.901473,1.18145,-1.39277,-0.273331,-1.02012,-0.587882,0.460456,1.45868,1.64632,-0.00183575,-0.18539,-0.00169614,-0.000786814,-0.329201,-1.4617,-0.935646,-0.0203726,-0.830069,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
-1.15826,1.33204,-1.18426,1.35353,-0.597681,-1.07761,0.636934,0.709562,-1.60558,-1.02486,0.576085,0.0264784,-0.00169614,0.445075,1.53033,1.20005,-0.216669,0.226874,-1.57792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.0889709,0.392229,1.38306,0.352343,0.122205,-1.52049,-1.67563,1.47283,-1.2696,-1.12095,-0.579756,-1.81439,1.41175,-0.446648,-1.20335,1.06964,1.19232,-0.477365,1.68422,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-0.980088,0.67042,-1.27574,1.21644,0.0977918,-0.565289,-1.5977,-1.43528,1.61441,-1.50529,-1.15768,-0.339294,-0.708422,-0.000786814,-0.564101,0.988952,-0.146101,-0.712119,-1.31136,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1.69256,-0.265107,-1.12271,-1.61758,0.895706,0.352738,0.0546514,0.354606,-0.539748,-1.42842,-0.579756,-0.78366,-0.708422,-1.78423,-0.332798,-0.520648,-0.656321,-0.634429,-1.23107,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-0.178294,-1.53354,1.16813,-0.460219,-0.909997,0.344612,0.00181635,0.742212,-0.946517,-0.525217,-0.579756,1.59547,-0.708422,-0.000786814,-0.262116,-0.913305,-0.376093,0.492613,-0.44036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-1.42553,0.118279,1.06674,-0.334988,-1.07209,1.24621,-1.31949,-1.45911,1.5775,1.60788,1.15401,-0.41007,-0.00169614,-0.000786814,1.4372,1.71613,-0.734215,2.33475,-0.140988,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.445324,-0.962056,-0.341497,-0.506802,0.139355,-0.0408792,-1.31639,-0.047676,0.896575,0.474072,0.576085,1.72961,0.705029,1.3368,-0.223937,0.506709,-1.62989,-0.726187,-0.170679,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
-0.534647,0.991748,-1.13081,1.32179,-0.728391,-0.386095,0.487897,-0.213005,0.197538,0.627809,-0.00183575,-0.000744787,1.41175,-1.78423,1.11348,-1.05414,1.49299,0.584258,-0.474898,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
-0.980088,-0.895391,-0.990177,-0.0627432,-0.198545,-0.0910322,-1.44602,0.900011,0.248041,-1.52451,1.15401,0.822123,-0.708422,-0.89251,1.04403,-0.472894,1.21034,0.775659,-0.393746,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.534412,-0.00662473,1.6391,-0.158464,0.63936,0.36087,0.00181635,0.391459,-1.29861,1.10824,-0.00183575,-1.65782,-0.708422,-0.000786814,-1.07892,-0.150881,1.39991,-0.900317,1.31613,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
-1.60371,0.432496,-1.49564,1.69435,1.14477,1.01262,-0.5666,0.638029,-1.17947,-0.333046,-0.579756,-0.892765,2.82521,-0.89251,0.35306,-0.519458,0.527377,-0.414726,0.336813,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
-0.000117387,4.15688,-0.462125,-0.683837,-0.267671,-0.69512,-0.825771,-0.766688,-0.388609,0.608592,1.15401,-0.000744787,-0.708422,-0.000786814,-1.68498,0.459516,0.84858,-1.25527,-1.58615,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.712589,-0.296785,0.460093,-0.793817,-1.22746,0.822146,1.18297,-0.0586619,0.136589,1.49258,1.15401,1.28976,-0.00169614,-0.89251,0.78508,-1.64268,0.410641,0.707747,0.806177,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
-1.15826,-0.256268,0.946055,-0.792213,-0.942112,-0.0619086,-1.27432,-0.862375,-0.34447,-0.275395,-1.15768,1.02378,1.41175,-0.446648,-0.429586,-1.70479,-0.676529,0.78174,1.33838,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-1.06918,1.00475,0.623463,-1.58267,0.595382,-0.177005,1.37885,-1.16019,-0.957341,-0.736606,-0.579756,0.734341,-1.41515,-0.446648,1.14066,-0.968249,-1.71359,-0.0920273,0.020899,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1.33621,-0.406363,-0.491596,1.03491,0.470992,0.622872,-1.14104,-0.630422,0.826476,-1.33234,-1.15768,-0.61168,-0.00169614,-1.33837,0.241653,-0.172148,0.232708,-0.450675,0.0646993,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.534647,-0.585271,-0.92455,-0.627399,-0.563784,0.750733,1.62336,1.25906,0.7205,-1.12095,-0.00183575,-0.906572,-0.708422,-0.446648,-0.292506,0.66934,-0.228269,-0.252919,-0.444215,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.267382,-0.787275,0.908911,1.72497,-0.074029,-0.588296,0.97607,1.49706,0.226284,-1.67824,1.73193,-1.16114,-0.00169614,-0.446648,0.64015,-0.100885,0.369244,-0.009113,0.0475618,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1.42529,-0.142304,-0.265341,-1.49613,1.3608,-0.544784,-1.1051,-0.0235722,0.716777,0.377986,-0.579756,-0.0868952,-0.00169614,-1.33837,0.7891,0.947422,-0.170755,0.597012,0.20969,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-1.42553,-0.676576,-1.33556,0.214844,2.36991,-0.532504,0.00181635,1.08244,1.45996,-0.064007,-0.00183575,-0.000744787,-0.708422,-0.446648,0.715858,0.814445,0.156069,-0.760484,-0.0536719,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
-1.60371,1.45746,1.64492,0.538307,1.46881,-1.38617,1.47897,0.723624,1.48132,1.24276,-0.00183575,1.27229,-0.00169614,-0.000786814,-1.06287,0.313271,-0.226446,0.0394029,0.948696,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
-1.24735,0.619826,0.959939,0.509989,-0.533092,0.0580834,1.34761,-0.853449,0.780645,-1.08251,-0.579756,1.26236,0.705029,0.890936,-1.07128,1.37593,-0.927727,-0.496122,-1.51842,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1.42553,-0.06089,0.451572,-0.746157,0.568244,1.01419,1.29831,1.59272,-0.23457,1.53101,-0.00183575,0.946706,-0.708422,-0.000786814,1.42533,0.042959,-1.04817,0.661447,0.439428,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.801677,-0.156393,-0.587282,0.179009,0.523554,0.0291599,1.21272,1.24647,-0.254865,0.416421,1.15401,0.241601,-0.708422,-1.78423,0.93499,-0.914626,-0.705654,-0.57227,0.198157,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.178294,-0.829559,1.11365,1.28002,0.290137,-0.880338,0.224506,1.09881,-0.597634,0.531723,-1.7356,-0.595806,0.705029,-0.446648,-1.1324,-0.0668763,0.180701,1.42068,-1.36705,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.534412,-0.272557,-0.909513,-1.51514,-1.56248,1.73869,0.180871,-0.629774,-0.643653,-0.429132,-0.579756,1.42245,0.705029,-2.23009,1.46649,0.156002,1.25004,0.579927,-1.40447,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1.24712,-0.36433,-1.5776,-0.494166,-0.0735005,-0.659711,0.766501,-1.20293,-1.53128,0.704677,-0.00183575,-0.285479,-0.00169614,-0.446648,-1.64605,-0.868168,-0.544367,-0.340767,1.42486,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-0.891,2.22856,-0.407659,0.097167,0.0522044,-1.08742,1.63985,-0.331483,-1.1935,-1.04408,-0.00183575,-0.563663,0.705029,-0.89251,1.67109,-1.71148,-1.6263,-0.639589,-1.47425,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1.42529,-0.417404,0.671264,0.769061,-1.11172,1.68734,-0.107283,-0.873794,1.21326,1.16589,-0.00183575,0.966644,-0.708422,-0.446648,-0.895551,1.21579,-0.159957,1.39852,-1.67915,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
-0.534647,0.302505,1.53592,-0.86639,0.855983,0.248744,0.864864,0.196105,0.0985141,-1.04408,1.73193,-1.26103,-0.00169614,1.3368,-0.0953514,0.374987,-1.30996,0.031898,-0.818129,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.979853,0.369157,-0.832462,1.08157,-0.880032,-0.209728,-0.0975054,0.668061,0.670422,1.26197,2.88777,0.519055,1.41175,-0.000786814,0.901206,0.52488,0.00867424,-0.0572478,-0.140448,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.445559,-0.981798,-1.47085,0.501518,-0.411701,1.37981,0.00181635,-1.24337,-0.238245,0.55094,1.15401,1.71373,-0.708422,-1.33837,-0.901719,-1.27937,1.02002,1.71339,-1.61196,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
-1.06918,-0.435748,-0.909011,-1.40143,0.500611,-0.0016536,-0.76087,-1.35807,-1.33504,-1.69746,-0.579756,-0.0283182,2.82521,0.445075,0.929387,1.14473,0.951348,-0.888682,1.37357,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-0.534647,0.586963,0.841172,0.546767,-1.32379,-2.35709,1.10272,-0.841175,0.415278,-0.0832241,0.576085,-1.55754,-0.00169614,-0.000786814,-0.280021,-0.0296819,-0.0224474,-0.44481,-0.950301,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.267147,-1.05512,0.0568517,0.656161,-2.04022,0.161916,-0.778608,-0.355785,-1.52925,1.60788,-0.579756,1.36016,0.705029,0.445075,-0.651844,-1.54266,0.184473,0.382907,0.600402,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0.0889709,2.72229,0.699468,0.637755,-0.258467,-1.2663,-1.24123,0.484597,-0.36039,-1.33234,-0.579756,-0.557947,-0.00169614,-0.89251,-1.51743,-1.72475,-0.573398,1.96141,-1.34813,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
-0.35647,-0.0841161,1.66578,0.38305,1.22876,-0.919447,-0.740868,1.56224,1.39429,1.16589,-0.00183575,0.985204,-0.00169614,1.3368,-1.66893,-0.547515,1.23177,-0.684891,0.353841,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.178294,-0.686585,0.020256,0.896153,-0.284728,-0.337101,0.00181635,1.22976,-1.46459,0.339552,-0.00183575,0.730423,-0.708422,-1.33837,1.27833,-0.331609,-1.0284,-0.48789,-0.319931,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.356236,-1.17116,-1.42805,-0.342449,0.277522,-0.357024,0.00181635,-0.266684,-1.18853,-0.467566,-0.00183575,-1.16868,-0.00169614,-0.446648,-1.21432,0.927455,-1.05541,-0.719824,-0.492889,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0.534412,1.77398,1.28888,-0.993217,2.21131,0.552966,0.579362,-0.433257,1.12786,-1.58216,0.576085,0.103762,0.705029,-0.446648,-1.28502,1.16531,-0.165319,-0.283523,-0.622085,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.445324,-0.380175,-1.33658,1.35041,0.0628062,-0.373129,1.69625,-1.61544,-1.25542,1.37728,-0.579756,0.222546,-0.708422,-0.000786814,-1.49126,1.50313,0.672343,-0.407574,0.215204,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0.801677,0.279961,-0.340706,0.143357,-0.381308,0.00408828,0.513282,0.827118,0.916343,0.608592,1.15401,0.252878,-0.00169614,0.445075,-0.994928,-0.684135,0.855368,-0.360814,0.690246,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.445559,-1.0907,1.67626,-0.946596,0.350859,0.498512,0.661678,1.72863,0.907219,-1.04408,-0.579756,0.367575,-0.00169614,-0.000786814,0.0110774,-1.26877,0.91344,0.0387225,-1.68246,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-1.69279,-0.793641,-0.49458,-0.153901,-1.03402,-0.393529,1.15467,0.0455618,1.50471,-1.37077,-0.00183575,0.745096,-1.41515,0.890936,0.536958,0.0673231,0.783271,0.863593,-1.6562,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.445324,0.914354,0.0126861,1.23226,-1.33682,-1.49945,0.633224,1.59182,0.905222,-1.62059,-0.00183575,-0.913296,-0.00169614,-0.446648,0.796946,-1.72733,-0.116553,-0.827248,1.70473,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-1.15826,1.72284,1.64785,-1.14909,-1.86364,-0.190413,-1.77392,-1.15084,0.293743,-1.0633,-1.7356,-1.43449,2.82521,1.78266,-0.818566,-0.21564,1.16538,-0.228471,0.607743,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-0.980088,-0.920783,0.0885272,1.10763,1.04423,0.301913,-0.733638,0.587509,0.480648,-0.582869,0.576085,-0.979292,1.41175,0.890936,-0.740722,-1.11174,1.6405,0.0701263,-1.36005,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0.356236,0.247272,1.53251,-1.2771,0.880456,-0.526103,0.00181635,-0.908677,-0.168371,0.839197,-0.579756,-1.64337,-1.41515,-1.33837,-0.697134,0.47705,1.34947,-0.873577,0.900538,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
-1.69279,0.228546,-0.611143,0.843603,-0.623485,0.0551708,-1.79355,-0.354818,1.0381,0.512506,-0.00183575,0.117728,-0.00169614,-0.000786814,-0.326056,-0.556327,-0.451175,-0.398168,-1.38531,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
-1.06918,0.913934,-1.38622,1.37962,1.45631,-0.210844,0.163222,-0.0694329,-0.747566,0.0512956,1.15401,0.359262,-1.41515,-0.89251,0.516202,-1.20984,-0.217083,0.112897,-0.020405,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.356236,0.341501,-0.545177,0.183419,1.70811,-0.127751,1.77038,-0.550936,0.427027,-0.736606,0.576085,-0.000744787,0.705029,0.890936,-1.70983,-1.44286,0.523049,0.544899,-0.450638,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.801912,0.549505,1.34638,-1.62668,0.122728,-0.778307,1.50374,-0.583214,1.5623,0.896848,0.576085,0.689268,2.11848,-0.000786814,-1.57026,0.0831803,-0.871863,0.662176,-1.34806,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
-0.267382,-1.54756,-0.563466,-0.688428,0.582813,0.334863,1.65856,-0.671812,0.429062,-0.755823,-0.579756,1.05666,-1.41515,0.890936,-1.63952,1.56855,1.15266,0.363832,-0.856871,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-1.06918,0.192965,1.01278,-1.323,-0.399022,0.148757,1.24007,-1.64185,0.325695,1.41571,1.15401,-0.305605,-0.00169614,-0.446648,-1.08267,0.82038,-0.311516,0.609921,-0.978687,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1.33621,-1.18921,-0.641076,0.99887,-1.31085,1.44253,0.710876,0.214449,-1.35491,0.166598,-1.15768,0.463784,0.705029,0.445075,-1.61196,0.456691,-0.309724,0.133525,-0.546323,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.33621,0.0954214,1.70727,0.863835,0.387296,-1.3377,0.00181635,0.369472,-1.03557,1.01215,-1.7356,-1.07233,-1.41515,-1.33837,0.24615,1.03831,-0.302586,-0.541853,-1.00057,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1.15803,1.12169,-0.956267,-1.37065,1.10562,-0.911517,-1.03909,-0.551051,-0.488045,-0.198527,0.576085,0.721097,-0.00169614,-1.33837,1.37915,-1.01059,-0.265486,-0.115409,-0.749766,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
-1.33644,0.0151618,-1.65824,-1.29526,0.151809,-0.0503807,1.17655,-0.83733,0.107861,0.416421,-1.15768,0.0307614,-0.00169614,0.445075,0.0989874,0.37104,-0.641477,-0.103659,1.135,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1.69256,0.579137,1.03775,-1.28083,-0.325641,1.16746,-1.03751,-1.14523,1.63226,-0.198527,0.576085,-0.230345,-0.708422,-0.446648,0.398374,0.932013,-0.338804,-1.02777,0.575348,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0.712589,0.850931,-0.0629988,-0.523921,-0.150534,0.137549,-0.452919,1.51084,0.14616,-0.140875,2.30985,-0.953898,-1.41515,0.445075,0.674798,-0.242526,1.67329,0.258523,-1.03982,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.15826,0.721037,0.996942,-1.17684,-0.450588,-1.54447,-0.624534,0.078498,-0.647535,-0.678954,-0.00183575,-0.105046,-0.708422,-0.89251,0.897264,1.64331,0.13791,-0.202875,-0.0815268,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
-0.980088,0.0916492,0.239318,-0.101421,-1.02622,1.40676,-0.355739,-0.147503,-0.180308,-0.755823,-0.579756,1.08705,-1.41515,-0.000786814,1.62274,1.18398,1.33702,-0.787259,1.51017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-1.06918,0.180128,-0.229898,-1.62834,0.234725,0.992307,1.57099,-0.759709,-1.54007,-1.02486,-0.579756,-0.809154,-0.708422,0.445075,-0.309855,0.475983,0.752572,-0.974994,1.38585,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
-0.712823,1.06303,0.0952982,0.864845,-0.0845229,0.830936,-1.26469,1.32237,0.485712,-0.486783,-0.579756,1.16369,2.11848,0.445075,-0.85314,1.5148,0.79006,0.20059,-1.65381,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
