asset_id,asset_type,substation_region,grid_failure_flag,predicted_failure_prob,expected_impact,risk_score
100064,Switchgear,East,1,0.61,602485.2888,367516.02616799995
100065,Substation,South,1,0.915,428594.6859,392164.1375985
100066,Transmission Line,West,0,0.125,1117589.0888,139698.6361
100067,Transformer,East,1,0.905,1037174.6142,938643.025851
100068,Transformer,West,0,0.015,394704.90345,5920.57355175
100069,Transmission Line,Central,0,0.005,433240.23809999996,2166.2011905
100070,Circuit Breaker,Central,0,0.13,719162.7778,93491.161114
100071,Transmission Line,North,1,0.835,884296.912,738387.92152
100072,Transformer,South,0,0.145,885100.55856,128339.5809912
100073,Switchgear,South,0,0.065,218965.09933,14232.731456450001
100074,Transmission Line,East,0,0.005,834281.3055,4171.4065275
100075,Substation,South,1,0.835,1123363.1059,938008.1934265001
100076,Switchgear,South,1,0.925,466779.59530000004,431771.1256525001
100077,Circuit Breaker,East,1,0.755,903533.0906,682167.483403
100078,Transformer,West,1,0.98,341888.64919,335050.87620620005
100079,Transmission Line,South,1,0.885,491947.7483,435373.7572455
100080,Transmission Line,Central,0,0.035,974463.5039329999,34106.222637655
100081,Transformer,East,0,0.12,405414.06189,48649.6874268
100082,Transformer,North,1,0.905,142287.84863,128770.50301015
100083,Switchgear,East,0,0.03,694542.4051,20836.272152999998
100084,Transformer,West,0,0.165,483320.5334,79747.888011
100085,Substation,East,0,0.055,1008028.1537,55441.5484535
100086,Switchgear,South,1,0.925,544294.824,503472.71220000007
100087,Transformer,West,0,0.045,536371.6156,24136.722702
100088,Substation,East,1,0.875,1398687.6044,1223851.6538500001
100089,Circuit Breaker,West,1,0.825,1186949.4712,979233.31374
100090,Circuit Breaker,South,0,0.055,797163.051,43843.967805
100091,Transmission Line,East,0,0.035,515806.7513,18053.236295500003
100092,Switchgear,West,0,0.1,523468.01411,52346.801411
100093,Transformer,East,1,0.915,795841.09476,728194.6017054
100094,Transmission Line,East,0,0.125,998791.212,124848.9015
100095,Transmission Line,Central,0,0.085,804383.1229,68372.5654465
100096,Transformer,East,1,0.89,603831.5446,537410.0746940001
100097,Transformer,West,1,0.86,609509.5437,524178.207582
100098,Switchgear,North,1,0.705,481856.45889,339708.80351745
100099,Switchgear,North,1,0.875,453656.51430000004,396949.45001250005
100100,Transformer,South,0,0.125,1453252.6047999999,181656.57559999998
100101,Transmission Line,North,0,0.68,920544.8559000001,625970.5020120001
100102,Transformer,West,0,0.185,592758.4654,109660.316099
100103,Transformer,North,0,0.185,860731.7356,159235.371086
100104,Switchgear,Central,0,0.05,677736.3866999999,33886.819335
100105,Switchgear,East,0,0.01,999823.84787,9998.238478700001
100106,Transmission Line,North,1,0.835,566361.8428,472912.13873799995
100107,Transmission Line,Central,0,0.51,604803.1209,308449.59165899997
100108,Switchgear,East,0,0.0,606492.3678,0.0
100109,Transformer,South,1,0.655,1010905.0197,662142.7879035
100110,Switchgear,East,0,0.115,631066.3385,72572.6289275
100111,Transformer,West,1,0.885,531846.2482,470683.92965700006
100112,Switchgear,East,1,0.925,782781.6464,724073.02292
100113,Switchgear,South,0,0.205,1142334.1722,234178.50530099997
100114,Transmission Line,North,1,0.95,464365.2816,441147.01752
100115,Switchgear,West,0,0.065,631803.2043999999,41067.208285999994
100116,Circuit Breaker,Central,0,0.065,453333.3247,29466.6661055
100117,Transmission Line,North,0,0.045,377808.2302,17001.370359
100118,Transformer,Central,0,0.075,322579.15399,24193.43654925
100119,Transmission Line,North,1,0.745,973028.3002,724906.083649
100120,Circuit Breaker,South,0,0.13,766780.538466,99681.47000058
100121,Circuit Breaker,Central,0,0.07,1026106.46841,71827.4527887
100122,Switchgear,North,1,0.93,1171450.1942,1089448.6806060001
100123,Transformer,West,1,0.68,1133224.5778,770592.7129040001
100124,Switchgear,North,0,0.205,778796.6482,159653.312881
100125,Transmission Line,North,0,0.205,1257150.241,257715.79940499997
100126,Transformer,North,1,0.93,1206608.8257,1122146.207901
100127,Circuit Breaker,West,0,0.075,466703.58310000005,35002.7687325
100128,Circuit Breaker,Central,0,0.025,1181431.6209,29535.7905225
100129,Transmission Line,North,1,0.825,646659.9307,533494.4428274999
100130,Transformer,South,1,0.885,792526.0473,701385.5518605
100131,Transmission Line,North,0,0.105,547388.23599,57475.76477895
100132,Transmission Line,South,1,0.915,762793.9397,697956.4548255
100133,Transmission Line,North,0,0.03,332623.2683,9978.698048999999
100134,Transmission Line,Central,0,0.16,1113350.9025,178136.14440000002
100135,Transformer,East,1,0.535,693196.6813,370860.22449550004
100136,Transmission Line,South,1,0.88,557072.2064,490223.541632
100137,Transmission Line,West,0,0.55,381761.0376,209968.57068
100138,Transmission Line,South,0,0.01,1341909.8011,13419.098011
100139,Transmission Line,East,0,0.05,526276.7394,26313.83697
100140,Transformer,South,0,0.01,871581.0907000001,8715.810907000001
100141,Substation,South,1,0.905,563999.0065799999,510419.1009549
100142,Transformer,North,0,0.04,871580.5692,34863.222768
100143,Transformer,Central,1,0.825,696951.6462,574985.108115
100144,Transmission Line,East,1,0.885,222045.58198999998,196510.34006114997
100145,Transformer,North,1,0.92,297244.67252,273465.09871840006
100146,Switchgear,North,0,0.245,668226.0358,163715.378771
100147,Transformer,Central,1,0.98,1277180.5287000001,1251636.918126
100148,Transmission Line,West,1,0.975,1313437.824,1280601.8784
100149,Circuit Breaker,Central,0,0.09,76095.65497999999,6848.608948199999
100150,Transformer,East,1,0.81,1138587.7844,922256.1053640001
100151,Transformer,East,1,0.945,529636.20828,500506.2168246
100152,Transformer,East,1,0.97,1038115.8038,1006972.329686
100153,Circuit Breaker,South,1,0.975,364829.7907,355709.0459325
100154,Transformer,North,0,0.075,682966.5676,51222.492569999995
100155,Transformer,North,0,0.05,1452530.4059,72626.520295
100156,Switchgear,North,0,0.46,661742.0249000001,304401.331454
100157,Transformer,North,0,0.06,433874.9345,26032.496069999997
100158,Transformer,South,0,0.05,670589.8522000001,33529.49261000001
100159,Circuit Breaker,North,0,0.32,157197.57834,50303.225068800006
100160,Transmission Line,North,1,0.965,868009.4663,837629.1349795
100161,Switchgear,North,0,0.225,649652.1624,146171.73654
100162,Circuit Breaker,North,1,0.91,889194.8441,809167.308131
100163,Transmission Line,East,1,0.53,636054.2707100001,337108.76347630005
100164,Substation,South,0,0.105,392250.30374999996,41186.28189375
100165,Substation,East,0,0.175,661377.5693000001,115741.07462750001
100166,Transformer,East,1,0.965,1155629.8984,1115182.851956
100167,Substation,Central,1,1.0,1099066.0079,1099066.0079
100168,Switchgear,East,0,0.325,577593.8011,187717.98535750003
100169,Switchgear,West,0,0.315,258851.1243,81538.1041545
100170,Switchgear,South,0,0.01,204020.80589,2040.2080589
100171,Transformer,West,1,0.965,526805.40382,508367.21468629997
100172,Substation,East,0,0.0,904456.46366,0.0
100173,Transmission Line,Central,0,0.295,341442.4213,100725.51428349999
100174,Transmission Line,North,0,0.135,558352.0805,75377.53086750001
100175,Transformer,Central,1,0.88,434106.1615,382013.42212
100176,Substation,East,0,0.04,834740.6042,33389.624167999995
100177,Transformer,West,0,0.08,967143.73899,77371.4991192
100178,Circuit Breaker,North,1,0.875,1346007.7261,1177756.7603375001
100179,Circuit Breaker,East,1,0.85,776357.9717999999,659904.27603
100180,Transformer,South,1,0.86,428666.00049999997,368652.76042999997
100181,Switchgear,East,1,0.875,1059198.0204,926798.2678500001
100182,Circuit Breaker,North,1,0.96,711054.63431,682612.4489376
100183,Transformer,Central,0,0.235,509845.4413,119813.67870549999
100184,Circuit Breaker,Central,0,0.145,1160980.0217,168342.10314649998
100185,Substation,West,1,0.845,150553.955229,127218.09216850501
100186,Switchgear,West,0,0.065,613332.7213,39866.6268845
100187,Switchgear,East,1,0.685,363676.61109,249118.47859665003
100188,Circuit Breaker,West,1,0.865,864348.9027,747661.8008355
100189,Transmission Line,East,0,0.0,981899.9461000001,0.0
100190,Transmission Line,West,1,0.77,915670.62355,705066.3801335
100191,Substation,East,0,0.42,959679.5455,403065.40911
100192,Substation,East,1,0.935,990924.8806200001,926514.7633797001
100193,Transformer,North,0,0.0,699965.3884,0.0
100194,Transformer,North,1,0.935,1005728.8137,940356.4408095
100195,Switchgear,North,0,0.155,1327676.5887,205789.87124849999
100196,Substation,South,0,0.165,1004031.2074,165665.149221
100197,Circuit Breaker,North,0,0.05,961284.843,48064.242150000005
100198,Transmission Line,East,0,0.05,899499.5067,44974.975335
100199,Transmission Line,North,0,0.09,962671.6679,86640.450111
100200,Transformer,North,0,0.515,1281243.472,659840.3880800001
100201,Transformer,Central,1,0.725,804036.04547,582926.13296575
100202,Transformer,South,0,0.01,676208.3992999999,6762.083992999999
100203,Switchgear,East,0,0.13,605394.5992,78701.297896
100204,Circuit Breaker,North,0,0.195,1322887.3122,257963.02587900002
100205,Switchgear,West,0,0.03,658018.3215999999,19740.549647999997
100206,Substation,Central,1,0.67,1050295.5732,703698.0340440001
100207,Transformer,West,0,0.08,1033301.8828,82664.150624
100208,Transformer,South,0,0.1,427736.45440000005,42773.64544000001
100209,Transformer,North,1,0.97,436461.815,423367.96055
100210,Transformer,West,1,0.95,85679.63768,81395.65579599999
100211,Switchgear,Central,1,0.84,561473.2779,471637.55343599996
100212,Circuit Breaker,Central,0,0.02,445721.07094999996,8914.421419
100213,Switchgear,South,1,0.94,828881.7646999999,779148.858818
100214,Switchgear,South,0,0.08,908457.6161,72676.609288
100215,Circuit Breaker,North,1,0.99,1046725.27106,1036258.0183494
100216,Substation,Central,1,0.835,826349.6302,690001.941217
100217,Transformer,South,1,0.945,977800.0989999999,924021.0935549999
100218,Switchgear,South,1,0.95,664535.9691999999,631309.1707399999
100219,Transmission Line,East,0,0.02,606523.7585100001,12130.475170200001
100220,Transmission Line,North,0,0.17,333127.96875,56631.754687500004
100221,Circuit Breaker,Central,0,0.02,560436.04077,11208.7208154
100222,Substation,Central,0,0.025,929533.6096000001,23238.340240000005
100223,Transformer,South,0,0.275,502398.24832,138159.51828800002
100224,Substation,South,0,0.475,564601.86867,268185.88761825
100225,Circuit Breaker,Central,0,0.09,650548.9168,58549.402512
100226,Transmission Line,North,1,0.805,183420.87914,147653.8077077
100227,Circuit Breaker,South,1,0.225,1180125.3549,265528.2048525
100228,Transmission Line,East,1,0.965,753203.2879,726841.1728235
100229,Transformer,West,1,0.77,1099945.786,846958.25522
100230,Substation,South,0,0.0,717251.3238,0.0
100231,Transmission Line,North,0,0.025,884065.069,22101.626725000002
100232,Transformer,North,0,0.07,555361.9943,38875.33960100001
100233,Transmission Line,South,1,0.995,995043.7461000001,990068.5273695001
100234,Transmission Line,West,1,0.895,1160521.3838,1038666.638501
100235,Transmission Line,Central,0,0.115,462671.2462,53207.193313
100236,Substation,West,1,0.815,788678.5754,642773.038951
100237,Switchgear,West,0,0.075,916838.6747000001,68762.9006025
100238,Switchgear,West,1,0.65,266019.89719,172912.9331735
100239,Circuit Breaker,West,0,0.075,783111.6539,58733.3740425
100240,Transformer,North,1,0.92,1102449.3029,1014253.3586680001
100241,Substation,Central,1,0.86,887587.442,763325.20012
100242,Switchgear,West,0,0.28,462398.3071,129471.52598800001
100243,Substation,West,1,0.775,734949.2291,569585.6525525
100244,Circuit Breaker,West,1,0.915,580287.14507,530962.73773905
100245,Transmission Line,North,1,0.9,334569.6082,301112.64738000004
100246,Substation,North,1,0.805,277560.42590000003,223436.14284950003
100247,Transmission Line,West,1,0.91,1258601.8314,1145327.6665740001
100248,Circuit Breaker,East,0,0.135,937058.7678,126502.93365300001
100249,Substation,South,0,0.025,870909.5133999999,21772.737835
100250,Circuit Breaker,West,0,0.09,681369.365,61323.242849999995
100251,Circuit Breaker,North,0,0.03,690134.1523399999,20704.024570199996
100252,Substation,South,0,0.04,433273.82409999997,17330.952964
100253,Switchgear,East,1,0.97,667691.4321000001,647660.6891370001
100254,Transmission Line,South,0,0.095,382169.8974,36306.140253000005
100255,Substation,South,1,0.97,747963.7019,725524.7908429999
100256,Circuit Breaker,Central,0,0.08,1168216.2020999999,93457.29616799999
100257,Transmission Line,Central,0,0.085,70928.729073,6028.941971205
100258,Transformer,West,1,0.81,795103.2634999999,644033.643435
100259,Switchgear,South,0,0.195,1284015.0787,250382.9403465
100260,Transmission Line,East,1,0.98,358342.04448000004,351175.20359040005
100261,Transmission Line,West,1,0.86,436409.40630000003,375312.089418
100262,Switchgear,South,1,0.97,1256774.9285,1219071.680645
100263,Circuit Breaker,North,0,0.13,1100470.1869,143061.124297
100264,Transformer,East,1,0.855,473532.92712,404870.6526876
100265,Circuit Breaker,West,0,0.575,359264.97414999997,206577.36013624998
100266,Circuit Breaker,West,0,0.13,1149619.8231000002,149450.577003
100267,Substation,North,0,0.01,594049.1067,5940.491067
100268,Circuit Breaker,South,0,0.495,1386436.5841,686286.1091295
100269,Circuit Breaker,East,1,0.855,506746.5661,433268.3140155
100270,Substation,Central,1,0.94,1051446.9353,988360.1191819999
100271,Circuit Breaker,South,0,0.005,705596.9025,3527.9845124999997
100272,Circuit Breaker,West,1,0.705,966319.0645000001,681254.9404725
100273,Transformer,Central,0,0.105,677343.35332,71121.05209859999
100274,Transformer,West,0,0.075,698702.379,52402.678425
100275,Transformer,East,0,0.035,769583.4058,26935.419203
100276,Switchgear,Central,0,0.18,581039.1507,104587.04712599999
100277,Circuit Breaker,East,1,0.945,1021365.1051,965190.0243195
100278,Transformer,South,1,0.8,1099830.9296,879864.74368
100279,Transformer,Central,0,0.02,719766.659,14395.33318
100280,Substation,Central,0,0.14,1217649.4351,170470.920914
100281,Transmission Line,North,0,0.215,463162.25388,99579.88458419999
100282,Transformer,Central,1,0.905,687861.4169000001,622514.5822945001
100283,Transformer,North,1,0.98,604068.2259,591986.8613819999
100284,Substation,South,0,0.305,991240.5869,302328.3790045
100285,Circuit Breaker,West,1,0.715,1080421.3243,772501.2468745
100286,Substation,South,0,0.025,1045458.7407,26136.4685175
100287,Transformer,West,0,0.075,668568.5496,50142.64122
100288,Substation,West,0,0.005,795761.1564,3978.805782
100289,Circuit Breaker,North,1,0.97,232582.30554,225604.8363738
100290,Switchgear,North,1,0.79,1078668.8281,852148.3741990001
100291,Circuit Breaker,West,0,0.85,463911.82909,394325.0547265
100292,Transformer,South,0,0.105,579015.9387,60796.6735635
100293,Switchgear,West,0,0.625,969630.916,606019.3225
100294,Transformer,North,0,0.2,1096809.6865,219361.93730000002
100295,Switchgear,East,1,0.695,531213.5814,369193.439073
100296,Substation,North,1,0.975,500395.69440000004,487885.80204000004
100297,Transformer,Central,1,0.565,1184199.0025,669072.4364124999
100298,Substation,East,1,0.81,1304922.4671,1056987.198351
100299,Transmission Line,East,0,0.5,803922.7598,401961.3799
100300,Circuit Breaker,Central,1,0.86,357202.40604000003,307194.06919440004
100301,Transformer,East,1,0.79,1152535.2417,910502.8409429999
100302,Transformer,East,1,0.92,498973.05429999996,459055.209956
100303,Substation,North,0,0.045,699619.2269,31482.8652105
100304,Transformer,South,1,0.83,1125598.0432,934246.3758559999
100305,Substation,Central,1,0.97,1137480.7156,1103356.294132
100306,Substation,Central,0,0.305,616709.54594,188096.4115117
100307,Switchgear,North,1,0.97,1027318.3242,996498.774474
100308,Substation,West,0,0.08,1365770.1243,109261.60994400001
100309,Circuit Breaker,North,1,0.89,1075132.9952,956868.3657280001
100310,Substation,South,0,0.16,591263.6329,94602.181264
100311,Transformer,North,0,0.05,1178285.1454,58914.25727
100312,Circuit Breaker,East,0,0.015,904395.1455999999,13565.927183999998
100313,Transformer,West,1,0.98,277396.37768000003,271848.45012640004
100314,Transformer,Central,0,0.185,214992.22445,39773.56152325
100315,Transformer,West,1,0.91,896659.9704,815960.573064
100316,Circuit Breaker,North,0,0.085,707719.9375,60156.19468750001
100317,Switchgear,East,0,0.035,984311.6709,34450.9084815
100318,Switchgear,West,1,0.685,964737.9785000001,660845.5152725001
100319,Circuit Breaker,South,0,0.04,1029188.3572,41167.534288
100320,Transmission Line,West,0,0.055,795782.661,43768.046355
100321,Transformer,South,1,0.92,251449.729803,231333.75141876002
100322,Transmission Line,West,1,0.875,568848.5292,497742.46305
100323,Switchgear,South,0,0.01,1090744.112,10907.44112
100324,Substation,East,0,0.13,780695.7253,101490.444289
100325,Transformer,South,0,0.185,170628.70155,31566.30978675
100326,Circuit Breaker,North,1,0.93,1192916.9601,1109412.7728930002
100327,Transformer,Central,0,0.005,593364.9898,2966.824949
100328,Switchgear,Central,0,0.18,1212946.7618,218330.417124
100329,Transformer,West,1,0.99,662021.1845,655400.9726549999
100330,Transmission Line,Central,0,0.005,1237902.9884000001,6189.514942000001
100331,Circuit Breaker,Central,0,0.19,1193180.1527,226704.229013
100332,Transmission Line,South,0,0.045,1250536.4812,56274.141654
100333,Transmission Line,South,1,0.76,821700.6916,624492.525616
100334,Transmission Line,East,1,0.93,1256455.3457,1168503.471501
100335,Circuit Breaker,Central,1,0.855,1021713.0663000001,873564.6716865001
100336,Circuit Breaker,East,1,0.965,778667.16661,751413.8157786499
100337,Transformer,South,1,0.865,442415.67775499995,382689.56125807494
100338,Transformer,North,0,0.02,665294.58419,13305.8916838
100339,Substation,South,0,0.19,676699.8356999999,128572.96878299999
100340,Transmission Line,West,1,0.99,905090.9489,896040.039411
100341,Transmission Line,East,0,0.015,1098083.102,16471.24653
100342,Transformer,South,1,0.91,619091.4006,563373.1745460001
100343,Transmission Line,West,1,0.905,632378.5218,572302.562229
100344,Circuit Breaker,Central,0,0.19,998344.6542,189685.484298
100345,Transformer,Central,0,0.07,408558.32065,28599.082445500004
100346,Transformer,East,0,0.375,482707.87757,181015.45408875
100347,Transmission Line,East,1,0.88,1118320.017,984121.61496
100348,Circuit Breaker,East,0,0.03,991795.5434,29753.866302
100349,Substation,South,0,0.06,300162.7297,18009.763782
100350,Transformer,North,0,0.42,697344.3031,292884.607302
100351,Transformer,East,1,0.865,567800.5124,491147.443226
100352,Transformer,East,0,0.025,610327.6211,15258.1905275
100353,Substation,Central,1,0.795,1183302.8133,940725.7365735001
100354,Transmission Line,West,0,0.67,1161581.7327999999,778259.760976
100355,Substation,South,0,0.015,550754.53564,8261.3180346
100356,Circuit Breaker,Central,1,0.985,859661.2456,846766.326916
100357,Substation,Central,0,0.345,985553.5176,340015.963572
100358,Switchgear,North,1,0.76,1024526.0502,778639.7981520001
100359,Substation,North,1,0.95,316582.1598,300753.05181000003
100360,Transformer,East,0,0.055,437208.74529999995,24046.480991499997
100361,Circuit Breaker,South,1,0.775,1230243.8137,953438.9556175001
100362,Transmission Line,South,1,0.81,988159.2607,800409.001167
100363,Switchgear,South,0,0.005,930262.2471,4651.3112355
100364,Switchgear,South,0,0.165,988793.5579,163150.9370535
100365,Circuit Breaker,North,1,0.8,773134.6172,618507.69376
100366,Circuit Breaker,North,0,0.36,1032932.3602,371855.64967199997
100367,Substation,East,0,0.075,965104.8404,72382.86303
100368,Transformer,North,0,0.325,551070.2753,179097.8394725
100369,Transmission Line,West,1,0.715,447818.85043700004,320190.478062455
100370,Circuit Breaker,North,0,0.535,283667.71831,151762.22929585003
100371,Transmission Line,East,0,0.21,914282.92591,191999.4144411
100372,Substation,North,0,0.045,1024195.6769000001,46088.8054605
100373,Substation,Central,0,0.175,618534.5989,108243.5548075
100374,Transformer,West,1,0.77,789254.99208,607726.3439016
100375,Transformer,West,0,0.01,450490.0246,4504.900246
100376,Transformer,East,1,0.945,631013.2466,596307.518037
100377,Transformer,South,1,0.99,556848.5627,551280.077073
100378,Switchgear,South,0,0.005,1159944.2459,5799.7212295
100379,Transmission Line,South,1,0.81,448583.3207,363352.489767
100380,Transformer,West,0,0.03,937456.9466,28123.708398
100381,Substation,South,1,0.785,1051969.7558,825796.258303
100382,Substation,West,1,0.965,1224551.6092,1181692.302878
100383,Transformer,North,0,0.135,606514.7213,81879.4873755
100384,Substation,South,0,0.235,555694.5579,130588.2211065
100385,Substation,East,0,0.115,934726.385,107493.53427500001
100386,Switchgear,East,1,0.685,659561.3162,451799.50159700005
100387,Transformer,Central,0,0.17,661486.1587,112452.64697900001
100388,Switchgear,North,1,0.96,756383.6018000001,726128.257728
100389,Circuit Breaker,Central,1,0.65,990915.16868,644094.859642
100390,Transformer,Central,0,0.11,992641.7842,109190.596262
100391,Substation,South,1,0.94,833225.12097,783231.6137118
100392,Substation,Central,0,0.095,982524.5977,93339.83678150001
100393,Circuit Breaker,West,0,0.185,808500.9371,149572.67336349998
100394,Transformer,Central,1,0.815,617049.7119,502895.51519849995
100395,Switchgear,South,1,0.72,669578.13175,482096.2548599999
100396,Transmission Line,East,0,0.03,1214194.9292000001,36425.847876
100397,Transmission Line,South,0,0.15,765414.0002,114812.10003
100398,Substation,South,1,0.995,722957.4827,719342.6952865
100399,Circuit Breaker,East,1,0.7,193986.79377,135790.75563899998
100400,Substation,West,0,0.025,1033139.2938,25828.482345
100401,Transmission Line,Central,0,0.07,476568.976,33359.82832000001
100402,Circuit Breaker,South,1,0.87,1014901.7234,882964.499358
100403,Transmission Line,East,0,0.125,419056.793298,52382.09916225
100404,Circuit Breaker,North,0,0.04,981333.3002,39253.332008000005
100405,Transmission Line,East,1,0.935,1020596.1381000001,954257.3891235001
100406,Transformer,East,0,0.045,553746.9597,24918.6131865
100407,Transmission Line,North,0,0.01,999695.0487,9996.950487
100408,Transformer,South,0,0.62,1015997.0942,629918.198404
100409,Transmission Line,North,1,0.97,813065.4055,788673.443335
100410,Switchgear,West,0,0.12,162818.16063,19538.1792756
100411,Substation,West,0,0.205,1316694.425,269922.357125
100412,Substation,East,0,0.02,395110.41130000004,7902.208226000001
100413,Circuit Breaker,East,0,0.095,865569.7877,82229.1298315
100414,Transmission Line,North,0,0.005,885239.2777,4426.1963885
100415,Switchgear,North,0,0.095,757200.9256,71934.087932
100416,Transmission Line,North,0,0.03,1369768.8643999998,41093.06593199999
100417,Transmission Line,South,1,0.945,736370.0691000001,695869.7152995
100418,Substation,South,0,0.195,1071180.2059,208880.1401505
100419,Transmission Line,North,0,0.47,1028876.2128,483571.82001599995
100420,Circuit Breaker,Central,0,0.065,866153.71335,56299.99136775
100421,Substation,South,0,0.005,391454.2875,1957.2714374999998
100422,Switchgear,North,1,0.965,985866.14142,951360.8264703
100423,Transformer,West,1,0.95,673086.0268999999,639431.7255549999
100424,Switchgear,Central,1,0.98,1075980.4655,1054460.85619
100425,Circuit Breaker,West,0,0.56,1193353.4668999999,668277.941464
100426,Substation,West,0,0.145,711225.5295,103127.70177749998
100427,Substation,West,0,0.115,1165652.3354,134050.018571
100428,Circuit Breaker,North,0,0.135,432003.24659999995,58320.438291
100429,Substation,Central,1,0.67,544928.7306,365102.24950200005
100430,Switchgear,South,0,0.08,718731.4739999999,57498.51792
100431,Transformer,East,1,0.9,857904.6253,772114.1627699999
100432,Transformer,West,1,0.755,210884.8747,159218.0803985
100433,Transformer,South,0,0.02,500233.26502,10004.6653004
100434,Substation,West,1,0.76,503261.23949,382478.5420124
100435,Transmission Line,North,1,0.95,842282.5179999999,800168.3920999999
100436,Switchgear,South,1,0.905,581775.9564,526507.240542
100437,Transmission Line,Central,1,0.35,184639.28061999998,64623.748216999986
100438,Substation,Central,1,0.735,473846.02709999995,348276.8299185
100439,Transformer,West,0,0.02,835802.9848999999,16716.059697999997
100440,Circuit Breaker,West,0,0.0,1084857.4371,0.0
100441,Transformer,North,1,0.8,445692.7128,356554.17024
100442,Transformer,Central,1,0.92,989076.9914,909950.8320880001
100443,Substation,West,1,0.845,436032.8545,368447.7620525
100444,Transmission Line,West,0,0.015,678627.2347,10179.4085205
100445,Circuit Breaker,East,0,0.135,678923.654511,91654.69335898501
100446,Circuit Breaker,East,0,0.26,113349.80841000001,29470.950186600003
100447,Substation,South,1,0.795,855221.73239,679901.2772500501
100448,Switchgear,East,0,0.0,741159.6803400001,0.0
